Size,Time
0,0.000000030
1,0.000000170
2,0.000000281
3,0.000000391
4,0.000000410
5,0.000000531
10,0.000000992
15,0.000001483
20,0.000001733
25,0.000002193
30,0.000002374
35,0.000002936
40,0.000003146
45,0.000003657
50,0.000004128
100,0.000008115
150,0.000011972
200,0.000016140
250,0.000020398
300,0.000025878
350,0.000031910
400,0.000037279
450,0.000057708
500,0.000049673
1000,0.000122299
1500,0.000220782
2000,0.000345134
2500,0.000496236
3000,0.000679288
3500,0.000948050
4000,0.001108940
4500,0.001384925
5000,0.001679946
10000,0.006610249
15000,0.014237575
20000,0.024826871
25000,0.038393423
30000,0.055003427
35000,0.088307521
40000,0.096612271
45000,0.128822083
50000,0.163659208
100000,0.648263167
150000,1.498757113
200000,2.626402097
250000,4.198084930
300000,5.632804964
350000,7.733242360
400000,10.190036261
450000,13.042641322
500000,15.775778017
1000000,60.453545409
